Participant,Condition,50-250ms_ch3,50-250ms_ch4,50-250ms_ch12,50-250ms_ch13,50-250ms_mean_over_channels,250-400ms_ch3,250-400ms_ch4,250-400ms_ch12,250-400ms_ch13,250-400ms_mean_over_channels
WS001,low_trial_1,-2.0386748,-1.8110622,-2.2935712,-1.7127498,-1.9640146,-0.47224185,-0.06150439,-0.24403301,0.09215362,-0.1714064
WS001,low_trial_2,0.9507151,1.5424598,1.3971283,1.0914865,1.2454474,-0.13570483,-0.51747227,-0.29408145,-0.38825616,-0.33387867
WS001,med_trial_1,0.19716331,0.04676282,0.19547597,0.22034259,0.16493617,-1.2675087,-1.4912281,-1.2584472,-1.529313,-1.3866243
WS001,med_trial_2,0.6390993,0.55488753,0.72540885,0.44099343,0.5900973,1.1339543,0.5573479,0.5132171,1.1556951,0.84005356
WS001,high_trial_1,0.13901593,-0.21856433,0.04646162,-0.08988172,-0.030742126,2.3589704,0.7067129,2.9150157,0.56537896,1.6365196
WS001,high_trial_2,-0.57763344,-0.30264652,-0.43752858,-0.5676972,-0.47137642,2.745664,1.7716163,1.5794383,2.6123054,2.1772559
WS002,low_trial_1,1.0257169,2.6859295,0.13856187,1.8274612,1.4194174,-2.2111366,-2.0604212,-1.7195883,-2.8300102,-2.2052891
WS002,low_trial_2,-3.741706,-2.739491,-3.9786172,-1.6555123,-3.0288315,2.3234012,2.7121434,2.7806885,2.2920551,2.527072
WS002,med_trial_1,1.3428003,0.6587546,0.30917844,0.7070996,0.75445825,-2.281886,-2.6663377,-1.3239225,-2.0149553,-2.0717754
WS002,med_trial_2,-3.1420557,-2.4155016,-0.34919068,-3.86819,-2.4437344,-0.8106334,-0.831786,-0.812187,-0.6180647,-0.76816773
WS002,high_trial_1,1.3200965,1.4319274,-1.3093106,3.2196536,1.1655917,1.0921686,0.41590452,-0.60672575,0.8223109,0.43091458
WS002,high_trial_2,-0.8751781,-0.23753929,-0.99313617,-1.8551837,-0.9902593,0.036558855,2.4617002,-1.2523904,3.0224388,1.0670769
WS003,low_trial_1,0.49146637,0.1080603,0.3200705,0.35374603,0.3183358,-1.0355145,-0.0711962,-0.6897221,-0.7668233,-0.640814
WS003,low_trial_2,-0.67793524,-0.5765937,-0.59629565,-0.3363462,-0.5467927,-2.0011377,-2.7457385,-2.1954174,-1.8951046,-2.2093496
WS003,med_trial_1,-0.44487843,1.1863105,0.36208305,0.13290699,0.30910555,0.6180893,1.5844787,1.0360992,1.2230406,1.115427
WS003,med_trial_2,-0.8296389,0.5568611,-0.22760166,-0.49191573,-0.24807379,-1.2351866,-1.2185804,-1.3355157,-0.98854685,-1.1944573
