"Participant","Condition","50-250ms_mean_over_channels","250-400ms_mean_over_channels","Time_Window","Channel","HEP_mean_value","Subject"
"WS001","low_trial_1",-1.9640146,-0.1714064,"50-250ms","ch3",-2.0386748,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"50-250ms","ch4",-1.8110622,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"50-250ms","ch12",-2.2935712,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"50-250ms","ch13",-1.7127498,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"250-400ms","ch3",-0.47224185,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"250-400ms","ch4",-0.06150439,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"250-400ms","ch12",-0.24403301,"WS001"
"WS001","low_trial_1",-1.9640146,-0.1714064,"250-400ms","ch13",0.09215362,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"50-250ms","ch3",0.9507151,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"50-250ms","ch4",1.5424598,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"50-250ms","ch12",1.3971283,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"50-250ms","ch13",1.0914865,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"250-400ms","ch3",-0.13570483,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"250-400ms","ch4",-0.51747227,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"250-400ms","ch12",-0.29408145,"WS001"
"WS001","low_trial_2",1.2454474,-0.33387867,"250-400ms","ch13",-0.38825616,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"50-250ms","ch3",0.19716331,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"50-250ms","ch4",0.04676282,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"50-250ms","ch12",0.19547597,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"50-250ms","ch13",0.22034259,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"250-400ms","ch3",-1.2675087,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"250-400ms","ch4",-1.4912281,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"250-400ms","ch12",-1.2584472,"WS001"
"WS001","med_trial_1",0.16493617,-1.3866243,"250-400ms","ch13",-1.529313,"WS001"
"WS001","med_trial_2",0.5900973,0.84005356,"50-250ms","ch3",0.6390993,"WS001"
"WS001","med_trial_2",0.5900973,0.84005356,"50-250ms","ch4",0.55488753,"WS001"
"WS001","med_trial_2",0.5900973,0.84005356,"50-250ms","ch12",0.72540885,"WS001"
"WS001","med_trial_2",0.5900973,0.84005356,"50-250ms","ch13",0.44099343,"WS001"
"WS001","med_trial_2",0.5900973,0.84005356,"250-400ms","ch3",1.1339543,"WS001"
